package	version	built
compiler	4.4.2	4.4.2
magrittr	2.0.3	4.4.2
magick	2.9.0	4.4.3
graphics	4.4.2	4.4.2
tools	4.4.2	4.4.2
utils	4.4.2	4.4.2
rsvg	2.7.0	4.4.3
grDevices	4.4.2	4.4.2
Rcpp	1.0.13-1	4.4.2
stats	4.4.2	4.4.2
datasets	4.4.2	4.4.2
pdftools	3.8.0	4.4.3
data.table	1.17.8	4.4.3
qpdf	1.4.1	4.4.3
methods	4.4.2	4.4.2
digest	0.6.39	4.4.3
jsonlite	2.0.0	4.4.3
base	4.4.2	4.4.2
png	0.1-8	4.4.0
askpass	1.2.1	4.4.2
survival	3.7-0	4.4.2
fgsea	1.32.4	4.4.3
readxl	1.4.3	4.4.2
dplyr	1.2.1	4.4.3
ggplot2	4.0.1	4.4.3
patchwork	1.3.2	4.4.3
ragg	1.3.3	4.4.2
svglite	2.2.2	4.4.3
